pool_key,version,beam,progression_tier,pool_ids,baseline_gen8_pool,generation,source_species,target_species
sword-common-early-d27a2e291dd8,sword,common,early,23,True,1-7,Snorunt (#361),Glalie (#362)
sword-common-early-d27a2e291dd8,sword,common,early,23,True,1-7,Snover (#459),Snover (#459)
sword-common-early-d27a2e291dd8,sword,common,early,23,True,1-7,Snover (#459),Abomasnow (#460)
sword-common-early-d27a2e291dd8,sword,common,early,23,True,1-7,Sneasel (#215),Weavile (#461)
sword-common-early-d27a2e291dd8,sword,common,early,23,True,1-7,Snorunt (#361),Froslass (#478)
sword-common-early-d27a2e291dd8,sword,common,early,23,True,1-7,Darumaka (#554),Darumaka (#554)
sword-common-early-d27a2e291dd8,sword,common,early,23,True,1-7,Darumaka (#554),Darmanitan (#555)
sword-common-early-3e86b004d8f1,sword,common,early,25,True,8,Yamper (#835),Yamper (#835)
sword-common-early-3e86b004d8f1,sword,common,early,25,True,8,Yamper (#835),Boltund (#836)
sword-common-early-3e86b004d8f1,sword,common,early,25,True,8,Toxel (#848),Toxel (#848)
sword-common-early-3e86b004d8f1,sword,common,early,25,True,8,Toxel (#848),Toxtricity (#849)
sword-common-early-3e86b004d8f1,sword,common,early,25,True,1-7,Pikachu (#25),Pikachu (#25)
sword-common-early-3e86b004d8f1,sword,common,early,25,True,1-7,Pikachu (#25),Raichu (#26)
sword-common-early-3e86b004d8f1,sword,common,early,25,True,1-7,Chinchou (#170),Chinchou (#170)
sword-common-early-3e86b004d8f1,sword,common,early,25,True,1-7,Chinchou (#170),Lanturn (#171)
sword-common-early-3e86b004d8f1,sword,common,early,25,True,1-7,Helioptile (#694),Helioptile (#694)
sword-common-early-3e86b004d8f1,sword,common,early,25,True,1-7,Helioptile (#694),Heliolisk (#695)
sword-common-early-b41a2c6f4d43,sword,common,early,26,False,1-7,Oddish (#43),Oddish (#43)
sword-common-early-b41a2c6f4d43,sword,common,early,26,False,1-7,Oddish (#43),Gloom (#44)
sword-common-early-b41a2c6f4d43,sword,common,early,26,False,1-7,Oddish (#43),Vileplume (#45)
sword-common-early-b41a2c6f4d43,sword,common,early,26,False,1-7,Oddish (#43),Bellossom (#182)
sword-common-early-b41a2c6f4d43,sword,common,early,26,False,1-7,Seedot (#273),Seedot (#273)
sword-common-early-b41a2c6f4d43,sword,common,early,26,False,1-7,Seedot (#273),Nuzleaf (#274)
sword-common-early-b41a2c6f4d43,sword,common,early,26,False,1-7,Seedot (#273),Shiftry (#275)
sword-common-early-b41a2c6f4d43,sword,common,early,26,False,1-7,Budew (#406),Roselia (#315)
sword-common-early-b41a2c6f4d43,sword,common,early,26,False,1-7,Budew (#406),Budew (#406)
sword-common-early-b41a2c6f4d43,sword,common,early,26,False,1-7,Budew (#406),Roserade (#407)
sword-common-early-b41a2c6f4d43,sword,common,early,26,False,1-7,Bounsweet (#761),Bounsweet (#761)
sword-common-early-b41a2c6f4d43,sword,common,early,26,False,1-7,Bounsweet (#761),Steenee (#762)
sword-common-early-b41a2c6f4d43,sword,common,early,26,False,1-7,Bounsweet (#761),Tsareena (#763)
sword-common-early-589ac53409f6,sword,common,early,32,True,8,Rookidee (#821),Rookidee (#821)
sword-common-early-589ac53409f6,sword,common,early,32,True,8,Rookidee (#821),Corvisquire (#822)
sword-common-early-589ac53409f6,sword,common,early,32,True,8,Rookidee (#821),Corviknight (#823)
sword-common-early-589ac53409f6,sword,common,early,32,True,1-7,Wingull (#278),Wingull (#278)
sword-common-early-589ac53409f6,sword,common,early,32,True,1-7,Wingull (#278),Pelipper (#279)
sword-common-early-589ac53409f6,sword,common,early,32,True,1-7,Drifloon (#425),Drifloon (#425)
sword-common-early-589ac53409f6,sword,common,early,32,True,1-7,Drifloon (#425),Drifblim (#426)
sword-common-early-589ac53409f6,sword,common,early,32,True,1-7,Noibat (#714),Noibat (#714)
sword-common-early-589ac53409f6,sword,common,early,32,True,1-7,Noibat (#714),Noivern (#715)
sword-common-early-0d3acfbe4eb2,sword,common,early,33,False,1-7,Cleffa (#173),Cleffa (#173)
sword-common-early-0d3acfbe4eb2,sword,common,early,33,False,1-7,Togepi (#175),Togepi (#175)
sword-common-early-0d3acfbe4eb2,sword,common,early,33,False,1-7,Togepi (#175),Togetic (#176)
sword-common-early-0d3acfbe4eb2,sword,common,early,33,False,1-7,Togepi (#175),Togekiss (#468)
sword-common-early-0d3acfbe4eb2,sword,common,early,33,False,1-7,Swirlix (#684),Swirlix (#684)
sword-common-early-0d3acfbe4eb2,sword,common,early,33,False,1-7,Swirlix (#684),Slurpuff (#685)
sword-common-early-0d3acfbe4eb2,sword,common,early,33,False,1-7,Cutiefly (#742),Cutiefly (#742)
sword-common-early-0d3acfbe4eb2,sword,common,early,33,False,1-7,Cutiefly (#742),Ribombee (#743)
sword-common-early-e77b564f7b9f,sword,common,early,34,True,8,Impidimp (#859),Impidimp (#859)
sword-common-early-e77b564f7b9f,sword,common,early,34,True,8,Impidimp (#859),Morgrem (#860)
sword-common-early-e77b564f7b9f,sword,common,early,34,True,8,Impidimp (#859),Grimmsnarl (#861)
sword-common-early-e77b564f7b9f,sword,common,early,34,True,8,Mime Jr (#439),Mr Rime (#866)
sword-common-early-e77b564f7b9f,sword,common,early,34,True,8,Milcery (#868),Milcery (#868)
sword-common-early-e77b564f7b9f,sword,common,early,34,True,8,Milcery (#868),Alcremie (#869)
sword-common-early-e77b564f7b9f,sword,common,early,34,True,1-7,Clefairy (#35),Clefairy (#35)
sword-common-early-e77b564f7b9f,sword,common,early,34,True,1-7,Clefairy (#35),Clefable (#36)
sword-common-early-e77b564f7b9f,sword,common,early,34,True,1-7,Mime Jr (#439),Mr Mime (#122)
sword-common-early-e77b564f7b9f,sword,common,early,34,True,1-7,Ralts (#280),Ralts (#280)
sword-common-early-e77b564f7b9f,sword,common,early,34,True,1-7,Ralts (#280),Kirlia (#281)
sword-common-early-e77b564f7b9f,sword,common,early,34,True,1-7,Ralts (#280),Gardevoir (#282)
sword-common-early-e77b564f7b9f,sword,common,early,34,True,1-7,Mime Jr (#439),Mime Jr (#439)
sword-common-early-e77b564f7b9f,sword,common,early,34,True,1-7,Ralts (#280),Gallade (#475)
sword-common-early-e1d3bcfb5fad,sword,common,early,36,True,8,Nickit (#827),Nickit (#827)
sword-common-early-e1d3bcfb5fad,sword,common,early,36,True,8,Nickit (#827),Thievul (#828)
sword-common-early-e1d3bcfb5fad,sword,common,early,36,True,8,Zigzagoon (#263),Obstagoon (#862)
sword-common-early-e1d3bcfb5fad,sword,common,early,36,True,1-7,Zigzagoon (#263),Zigzagoon (#263)
sword-common-early-e1d3bcfb5fad,sword,common,early,36,True,1-7,Zigzagoon (#263),Linoone (#264)
sword-common-early-e1d3bcfb5fad,sword,common,early,36,True,1-7,Purrloin (#509),Purrloin (#509)
sword-common-early-e1d3bcfb5fad,sword,common,early,36,True,1-7,Purrloin (#509),Liepard (#510)
sword-common-early-e1d3bcfb5fad,sword,common,early,36,True,1-7,Deino (#633),Deino (#633)
sword-common-early-e1d3bcfb5fad,sword,common,early,36,True,1-7,Deino (#633),Zweilous (#634)
sword-common-early-e1d3bcfb5fad,sword,common,early,36,True,1-7,Deino (#633),Hydreigon (#635)
sword-common-early-0ea2c681f740,sword,common,early,107,False,1-7,Woobat (#527),Woobat (#527)
sword-common-early-0ea2c681f740,sword,common,early,107,False,1-7,Woobat (#527),Swoobat (#528)
sword-common-early-0ea2c681f740,sword,common,early,107,False,1-7,Emolga (#587),Emolga (#587)
sword-common-early-0ea2c681f740,sword,common,early,107,False,1-7,Rufflet (#627),Rufflet (#627)
sword-common-early-0ea2c681f740,sword,common,early,107,False,1-7,Rufflet (#627),Braviary (#628)
sword-common-early-0ea2c681f740,sword,common,early,107,False,1-7,Fletchling (#661),Fletchling (#661)
sword-common-early-0ea2c681f740,sword,common,early,107,False,1-7,Fletchling (#661),Fletchinder (#662)
sword-common-early-0ea2c681f740,sword,common,early,107,False,1-7,Fletchling (#661),Talonflame (#663)
sword-common-late-f59e3ae7caea,sword,common,late,2,False,1-7,Solrock (#338),Solrock (#338)
sword-common-late-a301644f9d95,sword,common,late,105,True,8,Pincurchin (#871),Pincurchin (#871)
sword-common-late-a301644f9d95,sword,common,late,105,True,8,Morpeko (#877),Morpeko (#877)
sword-common-late-a301644f9d95,sword,common,late,105,True,1-7,Magneton (#82),Magneton (#82)
sword-common-late-a301644f9d95,sword,common,late,105,True,1-7,Chansey (#113),Chansey (#113)
sword-common-late-a301644f9d95,sword,common,late,105,True,1-7,Chansey (#113),Blissey (#242)
sword-common-late-a301644f9d95,sword,common,late,105,True,1-7,Shinx (#403),Shinx (#403)
sword-common-late-a301644f9d95,sword,common,late,105,True,1-7,Shinx (#403),Luxio (#404)
sword-common-late-a301644f9d95,sword,common,late,105,True,1-7,Shinx (#403),Luxray (#405)
sword-common-late-a301644f9d95,sword,common,late,105,True,1-7,Magneton (#82),Magnezone (#462)
sword-common-late-a301644f9d95,sword,common,late,105,True,1-7,Dedenne (#702),Dedenne (#702)
sword-common-late-223897ddb6a7,sword,common,late,123,False,1-7,Mienfoo (#619),Mienfoo (#619)
sword-common-late-223897ddb6a7,sword,common,late,123,False,1-7,Mienfoo (#619),Mienshao (#620)
sword-common-late-223897ddb6a7,sword,common,late,123,False,1-7,Passimian (#766),Passimian (#766)
sword-common-late-dbc7b5abe903,sword,common,late,139,False,1-7,Staryu (#120),Staryu (#120)
sword-common-late-dbc7b5abe903,sword,common,late,139,False,1-7,Staryu (#120),Starmie (#121)
sword-common-late-dbc7b5abe903,sword,common,late,139,False,1-7,Clauncher (#692),Clauncher (#692)
sword-common-late-dbc7b5abe903,sword,common,late,139,False,1-7,Clauncher (#692),Clawitzer (#693)
sword-common-late-dbc7b5abe903,sword,common,late,139,False,1-7,Wishiwashi (#746),Wishiwashi (#746)
sword-common-late-63e88db25fe1,sword,common,late,162,False,1-7,Omanyte (#138),Omanyte (#138)
sword-common-late-63e88db25fe1,sword,common,late,162,False,1-7,Omanyte (#138),Omastar (#139)
sword-common-late-63e88db25fe1,sword,common,late,162,False,1-7,Feebas (#349),Feebas (#349)
sword-common-late-63e88db25fe1,sword,common,late,162,False,1-7,Feebas (#349),Milotic (#350)
sword-common-late-63e88db25fe1,sword,common,late,162,False,1-7,Relicanth (#369),Relicanth (#369)
sword-common-late-e01fa3b95f59,sword,common,late,180,True,8,Stonjourner (#874),Stonjourner (#874)
sword-common-late-e01fa3b95f59,sword,common,late,180,True,1-7,Mawile (#303),Mawile (#303)
sword-common-late-e01fa3b95f59,sword,common,late,180,True,1-7,Aron (#304),Aron (#304)
sword-common-late-e01fa3b95f59,sword,common,late,180,True,1-7,Aron (#304),Lairon (#305)
sword-common-late-e01fa3b95f59,sword,common,late,180,True,1-7,Aron (#304),Aggron (#306)
sword-common-late-e01fa3b95f59,sword,common,late,180,True,1-7,Carbink (#703),Carbink (#703)
sword-common-late-0cb9b39b2293,sword,common,late,184,False,1-7,Dratini (#147),Dratini (#147)
sword-common-late-0cb9b39b2293,sword,common,late,184,False,1-7,Dratini (#147),Dragonair (#148)
sword-common-late-0cb9b39b2293,sword,common,late,184,False,1-7,Bagon (#371),Bagon (#371)
sword-common-late-0cb9b39b2293,sword,common,late,184,False,1-7,Druddigon (#621),Druddigon (#621)
sword-rare-early-a8b07cc88a0f,sword,rare,early,48,True,8,Falinks (#870),Falinks (#870)
sword-rare-early-a8b07cc88a0f,sword,rare,early,48,True,1-7,Machop (#66),Machop (#66)
sword-rare-early-a8b07cc88a0f,sword,rare,early,48,True,1-7,Machop (#66),Machoke (#67)
sword-rare-early-a8b07cc88a0f,sword,rare,early,48,True,1-7,Machop (#66),Machamp (#68)
sword-rare-early-a8b07cc88a0f,sword,rare,early,48,True,1-7,Riolu (#447),Riolu (#447)
sword-rare-early-a8b07cc88a0f,sword,rare,early,48,True,1-7,Riolu (#447),Lucario (#448)
sword-rare-early-a8b07cc88a0f,sword,rare,early,48,True,1-7,Scraggy (#559),Scraggy (#559)
sword-rare-early-a8b07cc88a0f,sword,rare,early,48,True,1-7,Scraggy (#559),Scrafty (#560)
sword-rare-early-1735aaa518a0,sword,rare,early,54;80,False,1-7,Vulpix (#37),Vulpix (#37)
sword-rare-early-1735aaa518a0,sword,rare,early,54;80,False,1-7,Vulpix (#37),Ninetales (#38)
sword-rare-early-1735aaa518a0,sword,rare,early,54;80,False,1-7,Salandit (#757),Salandit (#757)
sword-rare-early-1735aaa518a0,sword,rare,early,54;80,False,1-7,Salandit (#757),Salazzle (#758)
sword-rare-early-ea20517d1b07,sword,rare,early,60;86,False,1-7,Koffing (#109),Koffing (#109)
sword-rare-early-ea20517d1b07,sword,rare,early,60;86,False,1-7,Koffing (#109),Weezing (#110)
sword-rare-early-ea20517d1b07,sword,rare,early,60;86,False,1-7,Stunky (#434),Stunky (#434)
sword-rare-early-ea20517d1b07,sword,rare,early,60;86,False,1-7,Stunky (#434),Skuntank (#435)
sword-rare-early-ea20517d1b07,sword,rare,early,60;86,False,1-7,Skorupi (#451),Skorupi (#451)
sword-rare-early-ea20517d1b07,sword,rare,early,60;86,False,1-7,Skorupi (#451),Drapion (#452)
sword-rare-early-ea20517d1b07,sword,rare,early,60;86,False,1-7,Trubbish (#568),Trubbish (#568)
sword-rare-early-ea20517d1b07,sword,rare,early,60;86,False,1-7,Trubbish (#568),Garbodor (#569)
sword-rare-early-ea20517d1b07,sword,rare,early,60;86,False,1-7,Mareanie (#747),Mareanie (#747)
sword-rare-early-ea20517d1b07,sword,rare,early,60;86,False,1-7,Mareanie (#747),Toxapex (#748)
sword-rare-early-04399c386919,sword,rare,early,64,True,8,Applin (#840),Applin (#840)
sword-rare-early-04399c386919,sword,rare,early,64,True,8,Applin (#840),Flapple (#841)
sword-rare-early-04399c386919,sword,rare,early,64,True,8,Applin (#840),Appletun (#842)
sword-rare-early-04399c386919,sword,rare,early,64,True,8,Dreepy (#885),Dreepy (#885)
sword-rare-early-04399c386919,sword,rare,early,64,True,8,Dreepy (#885),Drakloak (#886)
sword-rare-early-04399c386919,sword,rare,early,64,True,8,Dreepy (#885),Dragapult (#887)
sword-rare-early-04399c386919,sword,rare,early,64,True,1-7,Trapinch (#328),Trapinch (#328)
sword-rare-early-04399c386919,sword,rare,early,64,True,1-7,Trapinch (#328),Vibrava (#329)
sword-rare-early-04399c386919,sword,rare,early,64,True,1-7,Trapinch (#328),Flygon (#330)
sword-rare-early-04399c386919,sword,rare,early,64,True,1-7,Axew (#610),Axew (#610)
sword-rare-early-04399c386919,sword,rare,early,64,True,1-7,Axew (#610),Fraxure (#611)
sword-rare-early-04399c386919,sword,rare,early,64,True,1-7,Axew (#610),Haxorus (#612)
sword-rare-early-04399c386919,sword,rare,early,64,True,1-7,Jangmo O (#782),Jangmo O (#782)
sword-rare-early-04399c386919,sword,rare,early,64,True,1-7,Jangmo O (#782),Hakamo O (#783)
sword-rare-early-04399c386919,sword,rare,early,64,True,1-7,Jangmo O (#782),Kommo O (#784)
sword-rare-early-c7c9fffe1e9d,sword,rare,early,149,False,1-7,Pinsir (#127),Pinsir (#127)
sword-rare-early-cddb31236364,sword,rare,early,179,False,1-7,Slowpoke (#79),Slowpoke (#79)
sword-rare-early-cddb31236364,sword,rare,early,179,False,1-7,Slowpoke (#79),Slowbro (#80)
sword-rare-early-cddb31236364,sword,rare,early,179,False,1-7,Slowpoke (#79),Slowking (#199)
sword-rare-early-cddb31236364,sword,rare,early,179,False,1-7,Gothita (#574),Gothita (#574)
sword-rare-early-cddb31236364,sword,rare,early,179,False,1-7,Gothita (#574),Gothorita (#575)
sword-rare-early-cddb31236364,sword,rare,early,179,False,1-7,Gothita (#574),Gothitelle (#576)
sword-rare-late-1b42017317fd,sword,rare,late,114,False,1-7,Torkoal (#324),Torkoal (#324)
sword-rare-late-1b42017317fd,sword,rare,late,114,False,1-7,Larvesta (#636),Larvesta (#636)
sword-rare-late-1b42017317fd,sword,rare,late,114,False,1-7,Larvesta (#636),Volcarona (#637)
sword-rare-late-f215d679476d,sword,rare,late,185,True,8,Duraludon (#884),Duraludon (#884)
sword-rare-late-f215d679476d,sword,rare,late,185,True,1-7,Dragonite (#149),Dragonite (#149)
sword-rare-late-f215d679476d,sword,rare,late,185,True,1-7,Delibird (#225),Delibird (#225)
sword-rare-late-f215d679476d,sword,rare,late,185,True,1-7,Shelgon (#372),Shelgon (#372)
sword-rare-late-f215d679476d,sword,rare,late,185,True,1-7,Shelgon (#372),Salamence (#373)
sword-rare-late-f215d679476d,sword,rare,late,185,True,1-7,Tyrunt (#696),Tyrunt (#696)
sword-rare-late-f215d679476d,sword,rare,late,185,True,1-7,Tyrunt (#696),Tyrantrum (#697)
sword-rare-late-f215d679476d,sword,rare,late,185,True,1-7,Turtonator (#776),Turtonator (#776)
shield-common-early-02d5ee080403,shield,common,early,2,False,1-7,Munna (#517),Munna (#517)
shield-common-early-02d5ee080403,shield,common,early,2,False,1-7,Munna (#517),Musharna (#518)
shield-common-early-02d5ee080403,shield,common,early,2,False,1-7,Solosis (#577),Solosis (#577)
shield-common-early-02d5ee080403,shield,common,early,2,False,1-7,Solosis (#577),Duosion (#578)
shield-common-early-02d5ee080403,shield,common,early,2,False,1-7,Solosis (#577),Reuniclus (#579)
shield-common-early-02d5ee080403,shield,common,early,2,False,1-7,Elgyem (#605),Elgyem (#605)
shield-common-early-02d5ee080403,shield,common,early,2,False,1-7,Elgyem (#605),Beheeyem (#606)
shield-common-early-02d5ee080403,shield,common,early,2,False,1-7,Espurr (#677),Espurr (#677)
shield-common-early-02d5ee080403,shield,common,early,2,False,1-7,Espurr (#677),Meowstic (#678)
shield-common-early-1f6bc16fc810,shield,common,early,4,False,1-7,Caterpie (#10),Caterpie (#10)
shield-common-early-1f6bc16fc810,shield,common,early,4,False,1-7,Caterpie (#10),Metapod (#11)
shield-common-early-1f6bc16fc810,shield,common,early,4,False,1-7,Caterpie (#10),Butterfree (#12)
shield-common-early-1f6bc16fc810,shield,common,early,4,False,1-7,Joltik (#595),Joltik (#595)
shield-common-early-1f6bc16fc810,shield,common,early,4,False,1-7,Joltik (#595),Galvantula (#596)
shield-common-early-1f6bc16fc810,shield,common,early,4,False,1-7,Durant (#632),Durant (#632)
shield-common-early-1f6bc16fc810,shield,common,early,4,False,1-7,Grubbin (#736),Grubbin (#736)
shield-common-early-1f6bc16fc810,shield,common,early,4,False,1-7,Grubbin (#736),Charjabug (#737)
shield-common-early-1f6bc16fc810,shield,common,early,4,False,1-7,Grubbin (#736),Vikavolt (#738)
shield-common-early-0d60ea5427cf,shield,common,early,6,False,1-7,Duskull (#355),Duskull (#355)
shield-common-early-0d60ea5427cf,shield,common,early,6,False,1-7,Duskull (#355),Dusclops (#356)
shield-common-early-0d60ea5427cf,shield,common,early,6,False,1-7,Duskull (#355),Dusknoir (#477)
shield-common-early-0d60ea5427cf,shield,common,early,6,False,1-7,Frillish (#592),Frillish (#592)
shield-common-early-0d60ea5427cf,shield,common,early,6,False,1-7,Frillish (#592),Jellicent (#593)
shield-common-early-0d60ea5427cf,shield,common,early,6,False,1-7,Phantump (#708),Phantump (#708)
shield-common-early-0d60ea5427cf,shield,common,early,6,False,1-7,Phantump (#708),Trevenant (#709)
shield-common-early-0d60ea5427cf,shield,common,early,6,False,1-7,Pumpkaboo (#710),Pumpkaboo (#710)
shield-common-early-0d60ea5427cf,shield,common,early,6,False,1-7,Pumpkaboo (#710),Gourgeist (#711)
shield-common-early-c144ea074a20,shield,common,early,8,False,1-7,Wailmer (#320),Wailmer (#320)
shield-common-early-c144ea074a20,shield,common,early,8,False,1-7,Shellos (#422),Shellos (#422)
shield-common-early-c144ea074a20,shield,common,early,8,False,1-7,Shellos (#422),Gastrodon (#423)
shield-common-early-e6f2fe540d70,shield,common,early,11,True,8,Meowth (#52),Perrserker (#863)
shield-common-early-e6f2fe540d70,shield,common,early,11,True,8,Cufant (#878),Cufant (#878)
shield-common-early-e6f2fe540d70,shield,common,early,11,True,8,Cufant (#878),Copperajah (#879)
shield-common-early-e6f2fe540d70,shield,common,early,11,True,1-7,Meowth (#52),Meowth (#52)
shield-common-early-e6f2fe540d70,shield,common,early,11,True,1-7,Meowth (#52),Persian (#53)
shield-common-early-e6f2fe540d70,shield,common,early,11,True,1-7,Bronzor (#436),Bronzor (#436)
shield-common-early-e6f2fe540d70,shield,common,early,11,True,1-7,Bronzor (#436),Bronzong (#437)
shield-common-early-e6f2fe540d70,shield,common,early,11,True,1-7,Ferroseed (#597),Ferroseed (#597)
shield-common-early-e6f2fe540d70,shield,common,early,11,True,1-7,Ferroseed (#597),Ferrothorn (#598)
shield-common-early-e6f2fe540d70,shield,common,early,11,True,1-7,Klink (#599),Klink (#599)
shield-common-early-e6f2fe540d70,shield,common,early,11,True,1-7,Klink (#599),Klang (#600)
shield-common-early-e6f2fe540d70,shield,common,early,11,True,1-7,Klink (#599),Klinklang (#601)
shield-common-early-e6f2fe540d70,shield,common,early,11,True,1-7,Pawniard (#624),Pawniard (#624)
shield-common-early-e6f2fe540d70,shield,common,early,11,True,1-7,Pawniard (#624),Bisharp (#625)
shield-common-early-794b1fab5907,shield,common,early,13,True,8,Blipbug (#824),Blipbug (#824)
shield-common-early-794b1fab5907,shield,common,early,13,True,8,Blipbug (#824),Dottler (#825)
shield-common-early-794b1fab5907,shield,common,early,13,True,8,Blipbug (#824),Orbeetle (#826)
shield-common-early-794b1fab5907,shield,common,early,13,True,8,Hatenna (#856),Hatenna (#856)
shield-common-early-794b1fab5907,shield,common,early,13,True,8,Hatenna (#856),Hattrem (#857)
shield-common-early-794b1fab5907,shield,common,early,13,True,8,Hatenna (#856),Hatterene (#858)
shield-common-early-794b1fab5907,shield,common,early,13,True,1-7,Ponyta (#77),Ponyta (#77)
shield-common-early-794b1fab5907,shield,common,early,13,True,1-7,Ponyta (#77),Rapidash (#78)
shield-common-early-794b1fab5907,shield,common,early,13,True,1-7,Natu (#177),Natu (#177)
shield-common-early-794b1fab5907,shield,common,early,13,True,1-7,Natu (#177),Xatu (#178)
shield-common-early-db048195ad2c,shield,common,early,14,False,1-7,Wynaut (#360),Wobbuffet (#202)
shield-common-early-db048195ad2c,shield,common,early,14,False,1-7,Baltoy (#343),Baltoy (#343)
shield-common-early-db048195ad2c,shield,common,early,14,False,1-7,Baltoy (#343),Claydol (#344)
shield-common-early-db048195ad2c,shield,common,early,14,False,1-7,Wynaut (#360),Wynaut (#360)
shield-common-early-662df8e9bc49,shield,common,early,16,False,1-7,Diglett (#50),Diglett (#50)
shield-common-early-662df8e9bc49,shield,common,early,16,False,1-7,Diglett (#50),Dugtrio (#51)
shield-common-early-662df8e9bc49,shield,common,early,16,False,1-7,Onix (#95),Onix (#95)
shield-common-early-662df8e9bc49,shield,common,early,16,False,1-7,Onix (#95),Steelix (#208)
shield-common-early-662df8e9bc49,shield,common,early,16,False,1-7,Nincada (#290),Nincada (#290)
shield-common-early-662df8e9bc49,shield,common,early,16,False,1-7,Nincada (#290),Ninjask (#291)
shield-common-early-662df8e9bc49,shield,common,early,16,False,1-7,Nincada (#290),Shedinja (#292)
shield-common-early-662df8e9bc49,shield,common,early,16,False,1-7,Drilbur (#529),Drilbur (#529)
shield-common-early-662df8e9bc49,shield,common,early,16,False,1-7,Drilbur (#529),Excadrill (#530)
shield-common-early-662df8e9bc49,shield,common,early,16,False,1-7,Mudbray (#749),Mudbray (#749)
shield-common-early-662df8e9bc49,shield,common,early,16,False,1-7,Mudbray (#749),Mudsdale (#750)
shield-common-early-efd77f9dd0aa,shield,common,early,17,True,8,Silicobra (#843),Silicobra (#843)
shield-common-early-efd77f9dd0aa,shield,common,early,17,True,8,Silicobra (#843),Sandaconda (#844)
shield-common-early-efd77f9dd0aa,shield,common,early,17,True,8,Yamask (#562),Runerigus (#867)
shield-common-early-efd77f9dd0aa,shield,common,early,17,True,1-7,Swinub (#220),Swinub (#220)
shield-common-early-efd77f9dd0aa,shield,common,early,17,True,1-7,Swinub (#220),Piloswine (#221)
shield-common-early-efd77f9dd0aa,shield,common,early,17,True,1-7,Hippopotas (#449),Hippopotas (#449)
shield-common-early-efd77f9dd0aa,shield,common,early,17,True,1-7,Hippopotas (#449),Hippowdon (#450)
shield-common-early-efd77f9dd0aa,shield,common,early,17,True,1-7,Swinub (#220),Mamoswine (#473)
shield-common-early-efd77f9dd0aa,shield,common,early,17,True,1-7,Yamask (#562),Yamask (#562)
shield-common-early-efd77f9dd0aa,shield,common,early,17,True,1-7,Yamask (#562),Cofagrigus (#563)
shield-common-early-96199d6aa45b,shield,common,early,33,False,1-7,Spritzee (#682),Spritzee (#682)
shield-common-early-96199d6aa45b,shield,common,early,33,False,1-7,Spritzee (#682),Aromatisse (#683)
shield-common-early-d119e9e56788,shield,common,early,39,False,1-7,Hoothoot (#163),Hoothoot (#163)
